日期,中国:公开市场操作:货币净投放,中国:水泥价格指数,中国:30大中城市:成交面积:商品房,中国:二手房出售挂牌价指数,中国:平均批发价:猪肉,南华工业品指数,地铁客运量
2019-9-2,1375.0,147.34714285714287,56.4573027,185.7,36.13285714285714,2319.9,3697.224
2019-9-3,200.0,149.6266666666667,69.54747119999999,185.47000000000003,36.48,2283.11,3585.753
2019-10-1,-1500.0,150.65666666666667,32.1534279,185.4,39.723333333333336,2260.366666666667,3094.7650000000003
2019-10-2,-830.0,151.32833333333335,63.570317,185.24,43.86,2234.8433333333337,3740.646
2019-10-3,5600.0,152.18333333333334,59.98374945454545,185.16,50.87888888888889,2223.0644444444447,3849.335454545456
2019-11-1,-2925.0,154.5716666666667,48.815033,185.18,51.535,2227.221666666667,3689.27
2019-11-2,0.0,158.965,58.8653737,184.985,47.3725,2218.30875,3784.9320000000007
2019-11-3,-30.0,163.21714285714285,68.03942909999999,184.89,42.82142857142857,2257.2228571428573,3730.489
2019-12-1,0.0,165.3685714285714,61.0018354,185.705,43.46142857142858,2272.434285714286,3665.297
2019-12-2,3175.0,166.22,71.4114458,185.64,43.5825,2321.77125,3779.413000000001
2019-12-3,-360.0,166.42857142857142,71.8813040909091,185.715,43.35285714285715,2336.5914285714284,3661.7436363636366
2020-3-1,1300.0,161.13882352941178,29.481519433333336,186.102,47.104,2224.6505,1636.3886666666667
2020-3-2,815.0,158.44863636363635,33.3767864,186.125,48.41434782608695,2175.805909090909,1752.7623333333331
2020-3-3,-2885.0,153.86999999999998,24.768524774193548,186.285,47.9225,2092.130625,994.1832258064516
2020-4-1,0.0,147.32857142857142,39.4424682,186.75,45.61142857142857,1957.328571428572,1721.9810000000002
2020-4-2,0.0,146.17166666666665,46.9534888,186.88,44.775,1998.848333333333,1803.611
2020-4-3,10.0,146.16,57.5855271,187.02,44.00666666666667,1939.81625,2169.922777777778
2020-5-1,0.0,146.67333333333332,39.2254936,187.13,42.675,2016.0333333333333,1879.296
2020-5-2,0.0,147.71125,58.7017231,187.235,40.0375,2042.40625,2527.295
2020-5-3,3350.0,148.50142857142856,67.52066018181819,187.38,38.73857142857143,2094.8385714285714,2438.4299999999994
2020-6-1,-4500.0,148.06875,58.802717400000006,187.83,39.65625,2169.47375,2771.044
2020-6-2,400.0,145.5557142857143,65.6909597,187.87,41.77571428571429,2166.2914285714287,2549.937
2020-6-3,3850.0,142.88600000000002,78.76415469999999,188.2,44.795,2173.054,2317.519
2020-7-1,-3412.5,139.34,67.8321459,188.5,46.82625,2203.64,2703.109
2020-7-2,3300.0,137.38833333333335,61.2510144,188.695,48.77,2241.363333333333,2662.481
